sample,chromosome,type,control,batch,vcf
C99L,3R,Heterozygous,Cctrl_new,NVS024,sarek_nvs024/VariantCalling/C99L/HaplotypeCallerGVCF/HaplotypeCaller_C99L.g.vcf.gz
Cctrl,None,None,None,NVS024,sarek_nvs024/VariantCalling/Cctrl/HaplotypeCallerGVCF/HaplotypeCaller_Cctrl.g.vcf.gz
D1059L,3L,Heterozygous,Dctrl,NVS024,sarek_nvs024/VariantCalling/D1059L/HaplotypeCallerGVCF/HaplotypeCaller_D1059L.g.vcf.gz
D1246L,3L,Heterozygous,Dctrl,NVS024,sarek_nvs024/VariantCalling/D1246L/HaplotypeCallerGVCF/HaplotypeCaller_D1246L.g.vcf.gz
D238L,3L,Heterozygous,Dctrl,NVS024,sarek_nvs024/VariantCalling/D238L/HaplotypeCallerGVCF/HaplotypeCaller_D238L.g.vcf.gz
D445L,3L,Heterozygous,Dctrl,NVS024,sarek_nvs024/VariantCalling/D445L/HaplotypeCallerGVCF/HaplotypeCaller_D445L.g.vcf.gz
D847L,3L,Heterozygous,Dctrl,NVS024,sarek_nvs024/VariantCalling/D847L/HaplotypeCallerGVCF/HaplotypeCaller_D847L.g.vcf.gz
D868L,3L,Heterozygous,Dctrl,NVS024,sarek_nvs024/VariantCalling/D868L/HaplotypeCallerGVCF/HaplotypeCaller_D868L.g.vcf.gz
D971L,3L,Heterozygous,Dctrl,NVS024,sarek_nvs024/VariantCalling/D971L/HaplotypeCallerGVCF/HaplotypeCaller_D971L.g.vcf.gz
Dctrl,None,None,None,NVS024,sarek_nvs024/VariantCalling/Dctrl/HaplotypeCallerGVCF/HaplotypeCaller_Dctrl.g.vcf.gz
